speaker,text,party,date,agenda,speechnumber,procedure_ID,partyfacts_ID,period,chair,MEP,commission,written,multispeaker,link,translationInSpeech,translatedText
President,"I wish you an excellent good morning on this last day of the parliamentary term. We start with the debate on the report by Daniel Freund, on behalf on the Committee on Constitutional Affairs, on the conclusion of an Agreement between the European Parliament, the Council, the European Commission, the Court of Justice of the European Union, the European Central Bank, the European Court of Auditors, the European Economic and Social Committee and the European Committee of the Regions, establishing an Interinstitutional Body for Ethical Standards for Members of Institutions and advisory bodies mentioned in Article 13 of the Treaty on European Union (N9-0008/2024 - C9-0127/2024 - 2024/2008(ACI)) (A9-0181/2024).",-,2024-04-25,2. Interinstitutional Body for Ethical Standards (debate),1, ,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-002_EN.html,,
President,"Dear colleagues, today marks the 50th anniversary of the Carnation Revolution in Portugal – a moment in the timeline of European history that reverberates and inspires still. A date where democracy, freedom and dignity took back their rightful place in Portugal, and it serves as a reminder to us to never take these cornerstone European values for granted. So the symbolism of today is all the more significant as we meet for the last voting session of this 9th legislature of the European Parliament. Let me say very quickly how immensely proud I am of all the work that we have done, of all the laws that we have passed, of all the debates that we have had and of all the challenges that we have overcome together. I think we can look back at this mandate with satisfaction in knowing that we have played our part in writing the story of Europe. Before we go, I want to wish all of you who will not stand for elections well. Please know that there is a stone in this House that will always be yours. To all of you who are running again and will soon be campaigning, I wish you strength, patience and success. Please keep doing what you can to bring Europe closer to the people. This is the last voting session for many of you, including some of our committee chairs, group leaders and vice-presidents of Parliament. It is impossible to name each of the colleagues whom I would like to thank personally from here. But allow me to make one exception: Jerzy Buzek, our President, has decided not to run again. (Applause) President Buzek, I really want to use this opportunity to salute you and all you have done for this House and for all of us. Dziękuję. I also want to thank all the services and the staff of this great institution. Thank you for making everything that we do possible. Thank you for making us proud to serve this Parliament. (Applause) And finally, one more exception: today – after 33 years of service – marks the final plenary session for Steven Wicker, who has patiently, calmly and brilliantly dealt with the preparation and conduct of the voting sessions in plenary. Dear Steven, on behalf of myself and all the former Presidents and Vice-Presidents, and on behalf of all Members whom you served so loyally, I thank you. (Applause) We are not done yet. Our mandate continues until 16 July 2024. We will keep on working until the last minute. We will keep delivering and we will do everything in our power to return this House stronger, more effective, more independent and better able to be the voice of all Europeans for the 10th legislature. I will see you all in July, and now we vote. (Applause)",-,2024-04-25,6. Statements by the President,1, ,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-006_EN.html,,
Virginijus Sinkevičius,"Mr President, honourable Members, dear rapporteur Mr Ehler, ladies and gentlemen, on behalf of the European Commission I am delighted to take part in this plenary debate on the Net Zero Industry Act. You are about to adopt a piece of legislation that is simply crucial. It’s going to spur the EU towards a decarbonised and resilient energy system, building on a competitive domestic supply of net-zero technologies. And we know this won’t be easy, as already witnessed with the [inaudible] taking place at international level in some of these key technologies. And I’m thinking of solar panels, wind turbines or batteries, for instance. So I would like to start by congratulating all of you, the European Parliament and in particular Committee on Industry, Research and Energy for having been able to negotiate and reach an agreement with the Council within such a short time frame. It shows how convinced we all are that the EU needs to remain a major producer of net-zero technologies. This is a prerequisite for reaping the benefits of the ongoing energy transition, for remaining competitive and for avoiding to replace a dependency on fossil fuels by a dependency on net-zero technologies. With this regulation we will help speed up clean industrial production in Europe in a way that no other EU instrument has done before. Take, for example, the benchmark that we set for our net-zero-technology manufacturing capacities: at least 40% of the Union’s annual deployment needs by 2030. The Parliament has played an important role in maintaining this very high ambition. The final text reflects this also, by requiring that the Union’s share for net-zero manufacturing is increased to reach 15% of world production by 2040. Another crucial element secured and improved by the Parliament is the annual 50-million-tonne CO2 storage target by 2030. It can now be supported through full CO2 value-chain projects for new industrial climate solutions for hard-to-abate emissions. With the Net Zero Industry Act we will have the first legal building block for the EU’s industrial carbon management strategy we recently adopted. Another important element concerns the scope of application. The Net Zero Industry Act, in its final form, will now focus on the entire supply chain, meaning that important industrial decarbonisation projects in energy-intensive sectors will also be eligible. Now we have to set this framework into motion and we have to do it fast. Let me reassure you that a quick and true implementation of the Net Zero Act remains a top priority for the Commission. Preparatory work is already ongoing across several work-streams, pending the entry into force of the regulation. Among the most immediate deliverables is the launch of the Net-Zero Europe platform. The platform is important to create a governance structure that oversees implementation. Member States, Commission and industry will work closely together with the Parliament as an observer to make sure that we are on course. As part of this governance structure, we will also set up an industry group to ensure continuous feedback from all net-zero sectors, as well as a net-zero regulatory burden scientific advisory group. We need to make sure that the work starts as soon as possible, and that we deliver on the promise to reduce administrative burden for all industrial activities in the framework of this Act. The Commission is also pleased with the Act’s focus on the strategic energy technology plan, which was important to the Parliament. We are already getting a full swing, making sure that the bridge between innovation and manufacturing is reinforced. We are also working on a system for granting strategic project status from July onwards. Net-zero projects will also be able to apply for this important status, and it will give them priority at national level, with faster permitting. We will give particular attention to these projects through the Net-Zero Europe platform also with regards to their financing. The Commission is also already preparing the implementation to the public procurement and renewable energy auctions provisions. In that sense, the chapter on access to markets is a fundamental step forward in our resilience-based and sustainable approach. We have no time to lose to start applying such provisions. In view of this, the Commission has also already started the necessary work on the related implementing and delegated acts. Some Member States have also already started applying this logic in national support schemes, which the Commission very much welcomes. With regard to the lack of skilled workers and acute bottleneck in the upscaling of our manufacturing capacities, the Commission is already preparing the launch of the first European net-zero industry academies. Finally, in order to carry the political momentum forward, the Commission decided to organise a high-level event dedicated to the Net-Zero Europe platform. It will take place ahead of the Compete Council on 23 May 2024.",-,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),7, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
Anna Deparnay-Grunenberg,"Mr President, I came to this House to be a voice for all the butterflies, the bees, the dragonflies that pollinate on food and fuel our imaginations. I came to this House to speak for the dolphins, the whales and the entire marine ecosystem. The sea not only provides us with food, but also deepens our sense of belonging. I came to this House to advocate for the trees and forest whose roots anchor us in the soil of existence. The branches reach towards the sky of possibilities, offering us air, water and life unconditionally. I’m neither naive nor romantic. I understand that our communities and social cohesion are built using these resources. We depend on fishing, forestry, farming, mining, industry and transportation for our goods, for our homes, for mobility, for energy, for communication. I am aware that the deep transformation of society and the great turning will not happen overnight. But I still held hope for the European Green Deal. With the Net Zero Industry Act, we had the opportunity to prioritise industries that could make us more resilient, more nature-compatible and more competitive in the long-run. Taking into account that the transport of goods and people is the most consuming in terms of energy, emissions and natural space, transport should have been considered in this act. However, I see no investment or prioritising in enhancing the competitiveness of railway systems, despite our train manufacturers being real big champions. Accelerating environmental assessment for the deployment of wind and solar energy is obvious. Unfortunately, we sometimes have to destroy a small piece of nature somewhere to combat climate change, which threatens our planetary ecosystem. However, now that I see carbon capture pipelines and nuclear power plants also prioritised for rapid development, I cannot support this act anymore. I came to this House to be a voice for the dragonflies, for the dolphins and the trees, and here or wherever else, I will not lower my voice.",Greens/EFA,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),9, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,6403.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
Seán Kelly,"A Uachtaráin, teastaíonn uaim mo thacaíocht iomlán a chur leis an moladh seo, an tAcht um Thionscal Glan-nialais. Is é is cuspóir leis an Acht seo ná infheistíocht a chur chun cinn i monaraíocht táirgí atá lárnach chun spriocanna neodrachais aeráide an Aontais a bhaint amach, agus spleáchais straitéiseacha na hEorpa a laghdú. Déanfaidh sé iomaíochas agus athléimneacht an tionscail um theicneolaíocht ghlan-nialais san Eoraip a neartú agus cabhróidh sé le teicneolaíochtaí nua san earnáil seo a fhorbairt. Tá muinín agam go mbeidh gníomhaíochtaí faoin Acht cosúil le traenáil LuxAir oilte agus laghdú riachtanas riaracháin thar a bheith tairbheach. Táim sásta a fheiscint chomh maith gur leathnaíodh scóip an Achta chun ábhar agus innealra monaraíochta a bhaineann leis na teicneolaíochtaí seo a chuimsiú, mar tá sé riachtanach go gcoinneofar slabhra soláthair iomlán san Eoraip. Taispeánann an moladh seo cé chomh tiomanta is atá an Eoraip chun ár spriocanna aeráide fadtéarma a bhaint amach agus chun ról lárnach a imirt san athrú go teicneolaíocht ghlas. Is é atá in infheistiú i dteicneolaíocht ghlan-nialais ná infheistiú i dtodhchaí na hEorpa. And finally, I’d just like to pay tribute to Jerzy Buzek for all the great work he did as President of Parliament, but particularly in the ITRE Committee. It was a pleasure to work with him, and I am looking forward to have a pint of Guinness with him in an Irish pub in Brussels before he leaves us.",PPE,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),24, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
Damian Boeselager,"Mr President, diverging to our German colleague from the FDP, Volt does believe that we need to have a climate neutral economy. But we also believe that we need to unleash the full potential of our entrepreneurs. And here it also needs to be said that the state government cannot foresee what kind of innovation will actually work, but that the state should set the framework for our innovation to thrive. So that means when you look at innovation, new ideas, we need to invest more in Horizon in our education systems. We need to triple the budget of Horizon to actually unleash new ideas. We also need to be more optimistic about the future. Entrepreneurs are only going to invest their time and energy into new businesses if there’s optimism. They need funds. And yes, that is public funds to guarantee, for example, large Capex investments . But we also need to unleash the institutional investors. 5% of institutional investors should go into new businesses. We also need talent. If you want talent, you also need to look at upskilling and attracting international talent. So we need to unleash the full potential of the European labour market to actually attract talent. We need to harmonise our rules across Europe. It’s much too complicated that you have, you know, compliance in one Member State, but you can’t actually then, you know, scale to the next Member State easily. That needs to be much easier. And if you do all of these things, and if we also implement competition law and State-aid rules so that we invest on the European level together and not nationally, only, then we will be successful.",Greens/EFA,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),31, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,6403.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
Barry Andrews,"Mr President, Commissioner and colleagues, as this is my last contribution in this mandate at least, I want to thank all of my colleagues that worked with me on the Sustainable Development Goals Alliance, and it is fitting that my last contribution should be on a law that seeks to chart a path for sustainable development and a Green Deal that works for people and planet. I see the green transition as a unique opportunity to create high-quality jobs in sectors that are very important to Europe, to Dublin and to Ireland. The Net Zero Industry Act is a remarkable piece of legislation that will incentivise public and private investment in wind, solar batteries and in storage. A very welcome shot in the arm for European industry. Dublin is already the tech capital of the European Union, with 16 out of the top 20 digital companies around the world based there. There’s no reason why Ireland shouldn’t be leading in the production of cutting-edge technology and wind, in heat pumps and in carbon capture, with huge competition from the US and China and elsewhere. Net zero will be key to Ireland and the European Union’s future. As I would appear to be the last-scheduled speaker in this mandate, on my behalf and on behalf of my team, I want to thank all of the staff here in Strasbourg and in Brussels for the excellent support that they’ve given me over the last few years.",Renew,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),34, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,6401.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
Virginijus Sinkevičius,"Mr President, dear Members of the Parliament, thank you for your interventions. Let me reiterate once more the importance of the Net Zero Industry Act. With this file we have set the bar high. We are sending a powerful signal for the EU to boost its clean tech manufacturing competitiveness via our benchmarks, with the ambitious permitting and access to market provisions, and by using, in a smart and holistic way, all of the necessary levers, including public procurement skills and innovation. It is crucial step forward also in the wider context, both for the twin green and digital transition, but also in view of the EU’s European competitiveness and economic security agenda, which will continue to be at the centre stage in the coming years. Implementation is key now. The Commission looks forward to advancing swiftly and efficiently, together with Member States, industry and all relevant stakeholders. On behalf of the Commission, thank you again to all of you for the excellent cooperation.",-,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),35, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
Alice Kuhnke,"Madam President, dear colleagues, in Stockholm yesterday, a group of people attending a lecture about how to stand up against fascism were attacked and abused by masked Nazis. The Nazis shall, of course, be held responsible for their awful actions. But, politicians in the Swedish Government, as well as in this Parliament, should be ashamed of cooperating and giving legitimacy to the far-right extremists. Nazis are Nazis and fascists are fascists, regardless if they are masked or wear a suit.",Greens/EFA,2024-04-25,6. Statements by the President,6, ,6403.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-006_EN.html,,
President,"The next item is the debate on the report by Christian Ehler, on behalf of the Committee on Industry, Research and Energy, on the proposal for a regulation of the European Parliament and of the Council on establishing a framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (COM(2023)0161 – C9-0062/2023 – 2023/0081(COD)) (A9-0343/2023).",-,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),1, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
